id,name,acronym,graph_id,rgb_triplet,structure_id_path,structure_set_ids
935,"Anterior cingulate area, dorsal part, layer 1,ACAd1","['dorsal part', 'layer 1', 'ACAd1']",1,"[64, 166, 102]","[997, 8, 567, 688, 695, 315, 31, 39, 935]","[667481440, 184527634, 12, 691663206]"
211,"Anterior cingulate area, dorsal part, layer 2/3,ACAd2/3","['dorsal part', 'layer 2/3', 'ACAd2/3']",1,"[64, 166, 102]","[997, 8, 567, 688, 695, 315, 31, 39, 211]","[667481441, 184527634, 12, 691663206]"
1015,"Anterior cingulate area, dorsal part, layer 5,ACAd5","['dorsal part', 'layer 5', 'ACAd5']",1,"[64, 166, 102]","[997, 8, 567, 688, 695, 315, 31, 39, 1015]","[184527634, 12, 667481446, 691663206]"
919,"Anterior cingulate area, dorsal part, layer 6a,ACAd6a","['dorsal part', 'layer 6a', 'ACAd6a']",1,"[64, 166, 102]","[997, 8, 567, 688, 695, 315, 31, 39, 919]","[667481449, 184527634, 12, 691663206]"
927,"Anterior cingulate area, dorsal part, layer 6b,ACAd6b","['dorsal part', 'layer 6b', 'ACAd6b']",1,"[64, 166, 102]","[997, 8, 567, 688, 695, 315, 31, 39, 927]","[667481450, 184527634, 12, 691663206]"
48,"Anterior cingulate area, ventral part,ACAv","['ventral part', 'ACAv']",1,"[64, 166, 102]","[997, 8, 567, 688, 695, 315, 31, 48]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]"
588,"Anterior cingulate area, ventral part, layer 1,ACAv1","['ventral part', 'layer 1', 'ACAv1']",1,"[64, 166, 102]","[997, 8, 567, 688, 695, 315, 31, 48, 588]","[667481440, 184527634, 12, 691663206]"
296,"Anterior cingulate area, ventral part, layer 2/3,ACAv2/3","['ventral part', 'layer 2/3', 'ACAv2/3']",1,"[64, 166, 102]","[997, 8, 567, 688, 695, 315, 31, 48, 296]","[667481441, 184527634, 12, 691663206]"
772,"Anterior cingulate area, ventral part, layer 5,ACAv5","['ventral part', 'layer 5', 'ACAv5']",1,"[64, 166, 102]","[997, 8, 567, 688, 695, 315, 31, 48, 772]","[184527634, 12, 667481446, 691663206]"
810,"Anterior cingulate area, ventral part, 6a,ACAv6a","['ventral part', '6a', 'ACAv6a']",1,"[64, 166, 102]","[997, 8, 567, 688, 695, 315, 31, 48, 810]","[667481449, 184527634, 12, 691663206]"
819,"Anterior cingulate area, ventral part, 6b,ACAv6b","['ventral part', '6b', 'ACAv6b']",1,"[64, 166, 102]","[997, 8, 567, 688, 695, 315, 31, 48, 819]","[667481450, 184527634, 12, 691663206]"
972,"Prelimbic area,PL",['PL'],1,"[47, 168, 80]","[997, 8, 567, 688, 695, 315, 972]","[3, 112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]"
171,"Prelimbic area, layer 1,PL1","['layer 1', 'PL1']",1,"[47, 168, 80]","[997, 8, 567, 688, 695, 315, 972, 171]","[667481440, 184527634, 12, 691663206]"
195,"Prelimbic area, layer 2,PL2","['layer 2', 'PL2']",1,"[47, 168, 80]","[997, 8, 567, 688, 695, 315, 972, 195]",[12]
304,"Prelimbic area, layer 2/3,PL2/3","['layer 2/3', 'PL2/3']",1,"[47, 168, 80]","[997, 8, 567, 688, 695, 315, 972, 304]","[667481441, 184527634, 12, 691663206]"
363,"Prelimbic area, layer 5,PL5","['layer 5', 'PL5']",1,"[47, 168, 80]","[997, 8, 567, 688, 695, 315, 972, 363]","[184527634, 12, 667481446, 691663206]"
84,"Prelimbic area, layer 6a,PL6a","['layer 6a', 'PL6a']",1,"[47, 168, 80]","[997, 8, 567, 688, 695, 315, 972, 84]","[667481449, 184527634, 12, 691663206]"
132,"Prelimbic area, layer 6b,PL6b","['layer 6b', 'PL6b']",1,"[47, 168, 80]","[997, 8, 567, 688, 695, 315, 972, 132]","[667481450, 184527634, 12, 691663206]"
44,"Infralimbic area,ILA",['ILA'],1,"[89, 179, 99]","[997, 8, 567, 688, 695, 315, 44]","[3, 112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]"
707,"Infralimbic area, layer 1,ILA1","['layer 1', 'ILA1']",1,"[89, 179, 99]","[997, 8, 567, 688, 695, 315, 44, 707]","[667481440, 184527634, 12, 691663206]"
747,"Infralimbic area, layer 2,ILA2","['layer 2', 'ILA2']",1,"[89, 179, 99]","[997, 8, 567, 688, 695, 315, 44, 747]",[12]
556,"Infralimbic area, layer 2/3,ILA2/3","['layer 2/3', 'ILA2/3']",1,"[89, 179, 99]","[997, 8, 567, 688, 695, 315, 44, 556]","[667481441, 184527634, 12, 691663206]"
